PERMNO,date,TICKER,COMNAM,VOL,RET,vwretd,vwretx
11850,2019-01-31,XOM,EXXON MOBIL CORP,2692291,0.074644,0.088294,0.087067
11850,2019-02-28,XOM,EXXON MOBIL CORP,2450679,0.089656,0.032724,0.030666
11850,2019-03-29,XOM,EXXON MOBIL CORP,2724555,0.022397,0.012962,0.011140
11850,2019-04-30,XOM,EXXON MOBIL CORP,2195241,-0.006436,0.037893,0.036700
11850,2019-05-31,XOM,EXXON MOBIL CORP,2500954,-0.107623,-0.061679,-0.063898
11850,2019-06-28,XOM,EXXON MOBIL CORP,2189546,0.082803,0.067279,0.065283
11850,2019-07-31,XOM,EXXON MOBIL CORP,1869190,-0.029623,0.011854,0.010702
11850,2019-08-30,XOM,EXXON MOBIL CORP,2776535,-0.067375,-0.020339,-0.022372
11850,2019-09-30,XOM,EXXON MOBIL CORP,2177885,0.031104,0.016033,0.014169
11850,2019-10-31,XOM,EXXON MOBIL CORP,2448392,-0.043053,0.019257,0.018086
11850,2019-11-29,XOM,EXXON MOBIL CORP,2496272,0.021163,0.034999,0.032986
11850,2019-12-31,XOM,EXXON MOBIL CORP,2867048,0.024218,0.028489,0.026242
11850,2020-01-31,XOM,EXXON MOBIL CORP,3592468,-0.109774,-0.001728,-0.002849
11850,2020-02-28,XOM,EXXON MOBIL CORP,4799222,-0.157920,-0.077918,-0.079868
11850,2020-03-31,XOM,EXXON MOBIL CORP,11712698,-0.261858,-0.141733,-0.143685
11850,2020-04-30,XOM,EXXON MOBIL CORP,7916314,0.223861,0.129674,0.128408
11850,2020-05-29,XOM,EXXON MOBIL CORP,4772305,-0.002798,0.053739,0.051688
11850,2020-06-30,XOM,EXXON MOBIL CORP,5849875,-0.016494,0.025299,0.023522
11850,2020-07-31,XOM,EXXON MOBIL CORP,4471626,-0.059034,0.055531,0.054411
11850,2020-08-31,XOM,EXXON MOBIL CORP,4495002,-0.030181,0.068442,0.066798
11850,2020-09-30,XOM,EXXON MOBIL CORP,5908611,-0.140461,-0.035056,-0.036515
11850,2020-10-30,XOM,EXXON MOBIL CORP,6304689,-0.049811,-0.020178,-0.021218
11850,2020-11-30,XOM,EXXON MOBIL CORP,7040089,0.195586,0.123707,0.122019
11850,2020-12-31,XOM,EXXON MOBIL CORP,6039454,0.081039,0.045048,0.043244
11850,2021-01-29,XOM,EXXON MOBIL CORP,5948429,0.087821,-0.000631,-0.001611
11850,2021-02-26,XOM,EXXON MOBIL CORP,5440016,0.231936,0.029196,0.027888
11850,2021-03-31,XOM,EXXON MOBIL CORP,7908050,0.026853,0.030573,0.029086
11850,2021-04-30,XOM,EXXON MOBIL CORP,4578548,0.025255,0.048190,0.047301
11850,2021-05-28,XOM,EXXON MOBIL CORP,5213052,0.034941,0.007092,0.005786
11850,2021-06-30,XOM,EXXON MOBIL CORP,5264568,0.080692,0.023422,0.022021
11850,2021-07-30,XOM,EXXON MOBIL CORP,4359157,-0.087349,0.011828,0.010952
11850,2021-08-31,XOM,EXXON MOBIL CORP,4063753,-0.037867,0.027146,0.025841
11850,2021-09-30,XOM,EXXON MOBIL CORP,4828702,0.078870,-0.042243,-0.043531
11850,2021-10-29,XOM,EXXON MOBIL CORP,4352145,0.096056,0.064651,0.063760
11850,2021-11-30,XOM,EXXON MOBIL CORP,4160659,-0.058167,-0.018350,-0.019707
11850,2021-12-31,XOM,EXXON MOBIL CORP,4332773,0.022560,0.033341,0.031573
11850,2022-01-31,XOM,EXXON MOBIL CORP,6075112,0.241379,-0.059822,-0.060568
11850,2022-02-28,XOM,EXXON MOBIL CORP,6286578,0.043970,-0.021838,-0.023121
11850,2022-03-31,XOM,EXXON MOBIL CORP,8535522,0.053175,0.030506,0.028940
11850,2022-04-29,XOM,EXXON MOBIL CORP,5056382,0.032207,-0.089387,-0.090295
11850,2022-05-31,XOM,EXXON MOBIL CORP,6598376,0.136422,-0.002113,-0.003740
11850,2022-06-30,XOM,EXXON MOBIL CORP,6603215,-0.107917,-0.083998,-0.085822
11850,2022-07-29,XOM,EXXON MOBIL CORP,4279205,0.131831,0.090351,0.089287
11850,2022-08-31,XOM,EXXON MOBIL CORP,4245640,-0.004746,-0.036233,-0.037918
11850,2022-09-30,XOM,EXXON MOBIL CORP,4114101,-0.086620,-0.091323,-0.093030
11850,2022-10-31,XOM,EXXON MOBIL CORP,4316332,0.269156,0.077394,0.076265
